year,rank,country,happiness,GDP,social_support,healthy,freedom,generosity,corruption,rank,happiness,GDP,social_support2019,healthy,freedom2019,generosity,corruption,rank2020,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2020,rank2021,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2021,rank2022,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2022
2018,40.0,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,41.0,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,42.0,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,43.0,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,44.0,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,45.0,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,46.0,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,47.0,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,48.0,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,49.0,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,50.0,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,51.0,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,52.0,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,53.0,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,54.0,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,55.0,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,56.0,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,57.0,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,58.0,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,59.0,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,60.0,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,61.0,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,62.0,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,63.0,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,64.0,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,65.0,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,66.0,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,67.0,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,68.0,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,69.0,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,70.0,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,71.0,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,72.0,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,73.0,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,74.0,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,75.0,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,76.0,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,77.0,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,78.0,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,79.0,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,80.0,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,81.0,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,82.0,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,83.0,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,84.0,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,85.0,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,86.0,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,87.0,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,88.0,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
